       29440
 #  0.314000000000357     
 Na          35           1           5
 O           35           1           6
 C           35           1           7
 C           35           1           8
 C           35           1           9
 O           35           1          10
 Na          35           1          11
 Fe          35           1          12
 Na          36           1           5
 O           36           1           6
 C           36           1           7
 C           36           1           8
 C           36           1           9
 O           36           1          10
 Na          36           1          11
 Fe          36           1          12
 Na          37           1           5
 O           37           1           6
 C           37           1           7
 C           37           1           8
 C           37           1           9
 O           37           1          10
 Na          37           1          11
 Fe          37           1          12
 Na          38           1           5
 O           38           1           6
 C           38           1           7
 C           38           1           8
 C           38           1           9
 O           38           1          10
 Na          38           1          11
 Na          39           1           5
 O           39           1           6
 C           39           1           7
 C           39           1           8
 C           39           1           9
 O           39           1          10
 Na          39           1          11
 Na          40           1           5
 O           40           1           6
 C           40           1           7
 C           40           1           8
 C           40           1           9
 O           40           1          10
 Na          40           1          11
 Na          41           1           5
 O           41           1           6
 C           41           1           7
 C           41           1           8
 C           41           1           9
 O           41           1          10
 Na          41           1          11
 Na          42           1           5
 O           42           1           6
 C           42           1           7
 C           42           1           8
 C           42           1           9
 O           42           1          10
 Na          42           1          11
 Fe          43           1           1
 Fe          43           1           2
 Fe          43           1           3
 Fe          43           1           4
 Na          43           1           5
 O           43           1           6
 C           43           1           7
 C           43           1           8
 C           43           1           9
 O           43           1          10
 Na          43           1          11
 Fe          43           1          12
 Fe          43           1          13
 Fe          43           1          14
 Fe          43           1          15
 Fe          43           1          16
 Fe          44           1           1
 Fe          44           1           2
 Fe          44           1           3
 Fe          44           1           4
 Na          44           1           5
 O           44           1           6
 C           44           1           7
 C           44           1           8
 C           44           1           9
 O           44           1          10
 Na          44           1          11
 Fe          44           1          12
 Fe          44           1          13
 Fe          44           1          14
 Fe          44           1          15
 Fe          44           1          16
 Fe          45           1           1
 Fe          45           1           2
 Fe          45           1           3
 Fe          45           1           4
 Na          45           1           5
 O           45           1           6
 C           45           1           7
 C           45           1           8
 C           45           1           9
 O           45           1          10
 Na          45           1          11
 Fe          45           1          12
 Fe          45           1          13
 Fe          45           1          14
 Fe          45           1          15
 Fe          45           1          16
 Na          46           1           5
 O           46           1           6
 C           46           1           7
 C           46           1           8
 C           46           1           9
 O           46           1          10
 Na          46           1          11
 Na          47           1           5
 H           47           1           6
 C           47           1           7
 C           47           1           8
 C           47           1           9
 O           47           1          10
 Na          47           1          11
 Na          48           1           5
 N           48           1           6
 C           48           1           7
 C           48           1           8
 C           48           1           9
 O           48           1          10
 Na          48           1          11
 Fe          49           1           5
 P           49           1           6
 C           49           1           7
 C           49           1           8
 C           49           1           9
 O           49           1          10
 Na          49           1          11
 Fe          50           1           5
 Br          50           1           6
 O           50           1           7
 C           50           1           8
 C           50           1           9
 O           50           1          10
 Na          50           1          11
 Fe          51           1           5
 Br          51           1           6
 O           51           1           7
 C           51           1           8
 C           51           1           9
 O           51           1          10
 Na          51           1          11
 Fe          51           1          12
 Fe          52           1           5
 Na          52           1           6
 O           52           1           7
 C           52           1           8
 C           52           1           9
 O           52           1          10
 Na          52           1          11
 Fe          52           1          12
 Fe          53           1           5
 Na          53           1           6
 O           53           1           7
 C           53           1           8
 C           53           1           9
 O           53           1          10
 Na          53           1          11
 Fe          53           1          12
 Fe          54           1           5
 Na          54           1           6
 O           54           1           7
 C           54           1           8
 C           54           1           9
 O           54           1          10
 Na          54           1          11
 Fe          54           1          12
 Fe          55           1           5
 Na          55           1           6
 O           55           1           7
 C           55           1           8
 C           55           1           9
 O           55           1          10
 Na          55           1          11
 Fe          55           1          12
 Na          56           1           6
 O           56           1           7
 C           56           1           8
 C           56           1           9
 O           56           1          10
 Na          56           1          11
 Fe          56           1          12
 Na          57           1           6
 O           57           1           7
 C           57           1           8
 C           57           1           9
 O           57           1          10
 Br          57           1          11
 Fe          57           1          12
 Na          58           1           6
 O           58           1           7
 C           58           1           8
 C           58           1           9
 O           58           1          10
 Br          58           1          11
 Fe          58           1          12
 Na          59           1           6
 O           59           1           7
 C           59           1           8
 C           59           1           9
 C           59           1          10
 P           59           1          11
 Fe          59           1          12
 Na          60           1           6
 O           60           1           7
 C           60           1           8
 C           60           1           9
 C           60           1          10
 N           60           1          11
 Na          60           1          12
 Fe          61           1           4
 Fe          61           1           5
 Cl          61           1           6
 O           61           1           7
 C           61           1           8
 C           61           1           9
 C           61           1          10
 H           61           1          11
 Na          61           1          12
 Fe          62           1           4
 Fe          62           1           5
 S           62           1           6
 C           62           1           7
 C           62           1           8
 C           62           1           9
 C           62           1          10
 O           62           1          11
 Na          62           1          12
 Fe          63           1           4
 Na          63           1           5
 N           63           1           6
 C           63           1           7
 C           63           1           8
 C           63           1           9
 C           63           1          10
 O           63           1          11
 Na          63           1          12
 Fe          64           1           4
 Na          64           1           5
 H           64           1           6
 C           64           1           7
 C           64           1           8
 C           64           1           9
 C           64           1          10
 O           64           1          11
 Na          64           1          12
 Fe          65           1           4
 Na          65           1           5
 O           65           1           6
 C           65           1           7
 C           65           1           8
 C           65           1           9
 C           65           1          10
 O           65           1          11
 Na          65           1          12
 Fe          66           1           1
 Fe          66           1           2
 Fe          66           1           3
 Fe          66           1           4
 Na          66           1           5
 O           66           1           6
 C           66           1           7
 C           66           1           8
 C           66           1           9
 C           66           1          10
 O           66           1          11
 Na          66           1          12
 Fe          66           1          13
 Fe          66           1          14
 Fe          66           1          15
 Fe          66           1          16
 Fe          67           1           1
 Fe          67           1           2
 Fe          67           1           3
 Fe          67           1           4
 Na          67           1           5
 O           67           1           6
 C           67           1           7
 C           67           1           8
 C           67           1           9
 C           67           1          10
 O           67           1          11
 Na          67           1          12
 Fe          67           1          13
 Fe          67           1          14
